Package_Name,License,Authors/Maintainers
aws-xray-sdk,Apache-2.0,AWS
aws-requests-auth,BSD,davehmuller@gmail.comhalley@dnspython.org
bcrypt,Apache-2.0,cryptography-dev@python.org
beautifulsoup4,MIT,Leonard Richardson <leonardr@segfault.org>
boto3,Apache-2.0,AWS
cryptography,Apache-2.0,The Python Cryptographic Authority and individual contributors <cryptography-dev@python.org>
dynamodb-encryption-sdk,Apache-2.0,<aws-cryptools@amazon.com>
idna,https://github.com/kjd/idna/blob/master/LICENSE.rst,Kim Davis kim@cynosure.com.au
jinja2,BSD,Armin Ronache <armin.ronacher@active-4.com>; Pallets <contact@palletsprojects.com>
numpy,https://www.numpy.org/license.html,numpy-discussion@python.org
pandas,BSD,<pydata@googlegroups.com>
pyqldb,Apache-2.0,AWS
redshift-connector,Apache License Version 2.0,Amazon Web Services <redshift-drivers@amazon.com>
requests,Apache-2.0,Kenneth Reitz <me@kennethreitz.org>
mysql-connector-python,GNU GPLv2,Oracle
aliyun-python-sdk-actiontrail,Apache-2.0,Aliyun <aliyun-developers-efficiency@list.alibaba-inc.com>
tabulate,MIT,s.astanin@gmail.com
dnspython,ISC License (ISCL),halley@dnspython.org
python-pptx, MIT, python-pptx <python-pptx@googlegroups.com>
memray, Apache 2.0, godlygeek pablogsal
polars, MIT, Ritchie Vink <ritchie46@gmail.com>
Pillow,https://github.com/python-pillow/Pillow/blob/master/LICENSE,Alex Clark <aclark@aclark.net>
"psycopg[binary,pool]", LGPL-3.0, Daniele Varrazzo <daniele.varrazzo@gmail.com>
praw,https://github.com/praw-dev/praw/blob/master/LICENSE.txt,Bryce Boe <bbzbryce@gmail.com>
orjson, Apache 2.0,ijl <ijl@mailbox.org>
pymssql, LGPL-2.1, https://github.com/pymssql/pymssql
awswrangler,Apache 2.0,AWS
stripe,MIT,Stripe <support@stripe.com>
pandasql,Open Yhat Inc.,greg@hathq.com
duckdb,MIT,hannes@cwi.nl
scipy,BSD-3-Clause,scipy-dev@python.org
defusedxml,Python Software Foundation License (PSFL),christian@python.org
opensearch-py,Apache-2.0,https://pypi.org/user/OpenSearch/
gdal, MIT, Gdal <gdal-dev-owner@lists.osgeo.org>
pycountry, OSI Approved GNU Lesser General Public License v2 (LGPLv2) (LGPL-2.1-only), nschimmo@gmail.com
tzlocal,MIT,Lennart Regebro <regebro@gmail.com>
feedparser,BSD,Kurt McKee <contactme@kurtmckee.org>
fuzzywuzzy[speedup],GNU General Public License v2 (GPLv2) (GPLv2),adam@seatgeek.com
mail-parser,Apache-2.0,mantuano.fedele@gmail.com
pyyaml,MIT,https://pypi.org/project/PyYAML/
gspread,MIT, Anton Burnashev <fuss.here@gmail.com>
pymongo, Apache-2.0, The MongoDB Python Team
icalendar,BSD,Plone Foundation <plone-developers@lists.sourceforge.net>
tls-client,MIT, Florian Zager
pdfplumber,MIT, Jeremy Singer-Vine
python-gitlab,GNU GPLv3,https://github.com/nejch
PyMuPDF,AGPL,Jorj X. McKie <jorj.x.mckie@outlook.de>
opencv-python,MIT, OpenCV Team
imutils,MIT, Adrian Rosebrock <adrian@pyimagesearch.com>
pytz,MIT, stuart@stuartbishop.net
